"gene","padj","logpadj","lfc","sextissue","direction"
"LOC101749531",0.0261930167469649,1.58181447938655,3.49884924337563,"male_pituitary","extend"
"IGLL1",0.0378313202345742,1.42214850246656,3.33162704356055,"male_pituitary","extend"
"KPNA2",1.0944406390826e-06,5.96080778897773,3.30861853559244,"male_pituitary","extend"
"CDCA3",0.0537775329922836,1.26939912461946,3.10563266284134,"male_pituitary","extend"
"IGJ",0.00553782490246957,2.25666078009883,3.0628550896546,"male_pituitary","extend"
"SHCBP1",0.00273495248178681,2.56305021487975,2.95373698032924,"male_pituitary","extend"
"LOC101749834",0.0134230384257167,1.87214916656921,2.94050367839725,"male_pituitary","extend"
"OVST",0.0121161426986563,1.91663562037764,2.6867173996839,"male_pituitary","extend"
"LOC423793",3.59495705456817e-05,4.44430629334103,2.67881700808705,"male_pituitary","extend"
"CKAP2",5.47664802469785e-05,4.2614851695776,2.64678316381554,"male_pituitary","extend"
"FGF6",0.0121161426986563,1.91663562037764,2.58757286269057,"male_pituitary","extend"
"BUB1",6.78558837350368e-05,4.16841248900832,2.56626271792018,"male_pituitary","extend"
"PDE11A",0.0196003034679048,1.70773720448963,2.51737209518802,"male_pituitary","extend"
"DEPDC1",0.0184210549547831,1.73468550183073,2.48143368086278,"male_pituitary","extend"
"ESCO2",0.0314237640564466,1.50274179475643,2.47458223747846,"male_pituitary","extend"
"CDK1",5.79511753238786e-05,4.23693775156408,2.4459197291115,"male_pituitary","extend"
"PHGDH",0.0537775329922836,1.26939912461946,2.40018247301258,"male_pituitary","extend"
"CCNB3",0.00658246477944791,2.18161145597918,2.30474220049701,"male_pituitary","extend"
"CENPK",0.0146162395485463,1.8351643478559,2.29889914666317,"male_pituitary","extend"
"PRL",2.39305855937703e-09,8.6210466738466,2.29324398593888,"male_pituitary","extend"
"NUF2",0.0184210549547831,1.73468550183073,2.28339667596662,"male_pituitary","extend"
"RRM2",0.0121161426986563,1.91663562037764,2.27414825835809,"male_pituitary","extend"
"MKI67",0.00163532797097779,2.78639513492914,2.26077757557573,"male_pituitary","extend"
"CAMKV",0.0537775329922836,1.26939912461946,2.22771551206239,"male_pituitary","extend"
"ANLN",0.0261930167469649,1.58181447938655,2.19453465512909,"male_pituitary","extend"
"PBK",0.0146162395485463,1.8351643478559,2.11440626706218,"male_pituitary","extend"
"CENPI",0.0125221816586748,1.90232000021647,2.11400749235028,"male_pituitary","extend"
"RACGAP1",0.003865318517309,2.4128147127133,2.08356370883928,"male_pituitary","extend"
"LOC422926",0.0693168147050016,1.15916140250493,2.08315475540727,"male_pituitary","extend"
"STC1",1.43366367271315e-05,4.84355271911199,1.9911677042586,"male_pituitary","extend"
"FAM83G",0.00102206656338669,2.99052081929898,1.98579905601075,"male_pituitary","extend"
"CALN1",0.00102206656338669,2.99052081929898,1.96915249661319,"male_pituitary","extend"
"PAX7",0.0121161426986563,1.91663562037764,1.9332047711435,"male_pituitary","extend"
"COL20A1",0.00127173729322958,2.89560259299902,1.9181637863546,"male_pituitary","extend"
"SKA1",0.00465596694092299,2.33199011199771,1.90470806852721,"male_pituitary","extend"
"LOC107053040",0.00273495248178681,2.56305021487975,1.78299054010675,"male_pituitary","extend"
"LOC428479",1.07669667856331e-05,4.9679066266739,1.75260570031236,"male_pituitary","extend"
"POU3F3",0.0537775329922836,1.26939912461946,1.74465785053121,"male_pituitary","extend"
"UBE2C",0.0121161426986563,1.91663562037764,1.739682210266,"male_pituitary","extend"
"USP35",0.000156629430436422,3.80512663132499,1.69349697781298,"male_pituitary","extend"
"ARAP2",0.000819101836859491,3.08666210014838,1.60474099182846,"male_pituitary","extend"
"PDE8B",2.40930682884647e-05,4.61810788842445,1.54788296537925,"male_pituitary","extend"
"MFSD4",0.00150520166309735,2.82240531049993,1.49122579470529,"male_pituitary","extend"
"CASC5",0.003865318517309,2.4128147127133,1.46246859085975,"male_pituitary","extend"
"LBH",0.00163532797097779,2.78639513492914,1.41572889362442,"male_pituitary","extend"
"CDC20",0.0757989467133925,1.12033682919301,1.40462775683962,"male_pituitary","extend"
"SLITRK6",0.0669851700705546,1.17402133564864,1.40171257817548,"male_pituitary","extend"
"SOSTDC1",0.0188217230390583,1.72534062149845,1.38644614172203,"male_pituitary","extend"
"GABRE",0.0139179508529714,1.85642470141774,1.36341166292128,"male_pituitary","extend"
"CD24",0.00166764234252189,2.77789708638686,1.35684555143511,"male_pituitary","extend"
"PLK1",0.0378313202345742,1.42214850246656,1.29350092905032,"male_pituitary","extend"
"LOC107051182",0.0690636684068373,1.16075035725598,1.27842794512948,"male_pituitary","extend"
"RASSF5",0.00163532797097779,2.78639513492914,1.23056161764636,"male_pituitary","extend"
"NDST4",0.0261930167469649,1.58181447938655,1.21250304280044,"male_pituitary","extend"
"GADL1",0.00221450573908209,2.65472318986626,1.18817931069873,"male_pituitary","extend"
"KNTC1",0.0355202635102711,1.44952382102879,1.18634433927505,"male_pituitary","extend"
"VEPH1",0.00408324781732802,2.3889942614113,1.17591619263692,"male_pituitary","extend"
"CDT1",0.0353142227963353,1.45205034736205,1.15627274694608,"male_pituitary","extend"
"ADARB2",4.24783879015379e-05,4.37183197353561,1.1538994180038,"male_pituitary","extend"
