"gene","padj","logpadj","lfc","sextissue","direction"
"LRIG3",0.0856310155325959,1.06736890547504,4.13098150501335,"male_pituitary","extend"
"KPNA2",1.99616705062516e-10,9.69980311729266,3.66705825848281,"male_pituitary","extend"
"CDC6",0.00159454544746918,2.79736309805552,3.65417006289667,"male_pituitary","extend"
"FOXM1",0.000490911065392513,3.30899717856473,3.54846269647951,"male_pituitary","extend"
"SMYD1",0.0116767264470139,1.93267889397561,3.20354467793814,"male_pituitary","extend"
"PRC1",0.0254012072638873,1.59514564182161,3.19903376080532,"male_pituitary","extend"
"BUB1",1.87406870801064e-09,8.72721449084265,3.14943119567,"male_pituitary","extend"
"SHCBP1",2.56539064145514e-05,4.59084649390077,3.1032785150857,"male_pituitary","extend"
"FGF6",0.000121507321385645,3.91539755299909,2.92862702653004,"male_pituitary","extend"
"PBK",1.94788453426954e-06,5.71043679058668,2.89372553878317,"male_pituitary","extend"
"DEPDC1",5.23872269098242e-05,4.28077459009254,2.86249961191319,"male_pituitary","extend"
"RRM2",1.34403550974298e-05,4.87158925696545,2.81151792032352,"male_pituitary","extend"
"PRL",1.06228032686829e-16,15.9737608614589,2.80453926673694,"male_pituitary","extend"
"NUF2",4.00595445884152e-05,4.39729399223322,2.77870766947934,"male_pituitary","extend"
"CDK1",4.31215733115598e-08,7.365305402087,2.77532757023144,"male_pituitary","extend"
"ESCO2",0.000492287208152492,3.3077814490149,2.684811529005,"male_pituitary","extend"
"CENPK",6.24668082457498e-05,4.20435068385182,2.63343332643896,"male_pituitary","extend"
"CENPA",0.00786425909216003,2.10434218687966,2.5712113658042,"male_pituitary","extend"
"C10H15ORF60",0.052227030972707,1.28210466244216,2.50742624357327,"male_pituitary","extend"
"SGOL1",1.11566163407366e-05,4.95246750139891,2.49423094582203,"male_pituitary","extend"
"CENPI",3.93184951546163e-05,4.40540311236973,2.41573663812863,"male_pituitary","extend"
"CCNB3",7.04311949154578e-05,4.15223494342951,2.40466460730121,"male_pituitary","extend"
"LOC101749531",0.0335815170171396,1.47389968886231,2.33198047787872,"male_pituitary","extend"
"ZC3HAV1L",0.000518054846022019,3.28562425943661,2.31841710303305,"male_pituitary","extend"
"CDCA3",0.0407740599681205,1.38961604268166,2.28496295270329,"male_pituitary","extend"
"LOC100858647",0.0927918970346767,1.03248994648343,2.28259241722706,"male_pituitary","extend"
"RACGAP1",2.56539064145514e-05,4.59084649390077,2.24905981837083,"male_pituitary","extend"
"MKI67",9.59540267524302e-05,4.01793679518942,2.17232365097885,"male_pituitary","extend"
"UBE2C",5.91378725071432e-06,5.22813430333083,2.15382836268257,"male_pituitary","extend"
"CDC45",0.000326163338928395,3.48656485566813,2.11224716465063,"male_pituitary","extend"
"COL10A1",0.0163416418698,1.78670431137936,2.07760312730108,"male_pituitary","extend"
"CKAP2",0.000328886752672794,3.48295361924149,2.07300237393905,"male_pituitary","extend"
"UMOD",0.000474510112567577,3.32375452762974,2.06434246409898,"male_pituitary","extend"
"LOC423793",0.000183948667020219,3.73530335492642,2.05160612139462,"male_pituitary","extend"
"SUSD2",0.0258863397337163,1.58692935342102,2.04440522544301,"male_pituitary","extend"
"IRX4",0.0905427950261261,1.04314610310687,2.0192160718674,"male_pituitary","extend"
"PROCR",0.0019748730875537,2.70446080846592,1.9362261095396,"male_pituitary","extend"
"A2ML4",0.0111921990142765,1.95108457603288,1.88010471154002,"male_pituitary","extend"
"SKA1",0.000118935390981351,3.92468889541594,1.85845102437801,"male_pituitary","extend"
"LOC101748559",0.0189682156140449,1.7219735223229,1.82636767222309,"male_pituitary","extend"
"FBXO5",0.00522051644890261,2.28228653151612,1.79243246072113,"male_pituitary","extend"
"OVST",0.0172577263770806,1.76301642107324,1.77842941733631,"male_pituitary","extend"
"USP35",2.56866090415751e-06,5.59029322433365,1.72516335847566,"male_pituitary","extend"
"MCM10",0.00128895261445715,2.88976304824633,1.72353544962357,"male_pituitary","extend"
