"gene","padj","logpadj","lfc","sextissue","direction"
"LOC101749531",0.0078424686530926,2.10554720853281,4.04024951508518,"male_pituitary","m.n2"
"CDC6",0.0111153773693891,1.9540757883261,3.77075951110182,"male_pituitary","m.n2"
"LOC422926",0.000144033067590298,3.84153778968712,3.31204791849938,"male_pituitary","m.n2"
"FOXM1",0.0472323547679158,1.32576040214256,3.02626991102291,"male_pituitary","m.n2"
"KPNA2",2.94930807810962e-05,4.53027985965074,3.025561774282,"male_pituitary","m.n2"
"CENPA",0.0482340382483426,1.31664637656963,2.88964650003133,"male_pituitary","m.n2"
"ESCO2",0.0237278443761275,1.62474171471466,2.67309451578681,"male_pituitary","m.n2"
"CLUL1",0.00915980635635125,2.03811370747375,2.63311856688834,"male_pituitary","m.n2"
"RACGAP1",8.37872117715619e-05,4.07682226157089,2.59966843436123,"male_pituitary","m.n2"
"PBK",0.00196173548485298,2.70735955211064,2.53932254015877,"male_pituitary","m.n2"
"CDK1",7.05072328605796e-05,4.1517663293871,2.51468866037339,"male_pituitary","m.n2"
"OVST",0.0937537117733133,1.0280115292455,2.49215294993163,"male_pituitary","m.n2"
"BUB1",0.000270019571632412,3.56860475604877,2.45776955556966,"male_pituitary","m.n2"
"GAS2L3",0.0719528756081945,1.14295184473203,2.36202647347665,"male_pituitary","m.n2"
"RRM2",0.0082273555735433,2.08473973275449,2.30326759720658,"male_pituitary","m.n2"
"CCNB3",0.0078424686530926,2.10554720853281,2.22496448220327,"male_pituitary","m.n2"
"CKAP2",0.00326116012291093,2.48662787681827,2.1785208374987,"male_pituitary","m.n2"
"CENPI",0.00905636285760598,2.04304618510689,2.14135474752675,"male_pituitary","m.n2"
"SLITRK6",0.000142485195624126,3.84623025700812,2.11364419317519,"male_pituitary","m.n2"
"PRL",2.76474083564436e-07,6.55834557283116,2.09747213580418,"male_pituitary","m.n2"
"LOC423793",0.00441766804222019,2.35480692152218,2.06772727185819,"male_pituitary","m.n2"
"CDC45",0.0245511081792249,1.60992890006809,2.03825342188384,"male_pituitary","m.n2"
"CEP55",0.0857604498238174,1.06671294971883,2.017665764666,"male_pituitary","m.n2"
"SGOL1",0.013817724056739,1.85956348453041,1.97196328875019,"male_pituitary","m.n2"
"CENPK",0.0518106476271079,1.28558097904811,1.9715351832597,"male_pituitary","m.n2"
"UBE2C",0.00274658396149865,2.56120712030612,1.93201865246149,"male_pituitary","m.n2"
"SERPINB5",0.0810413173737915,1.09129350788077,1.86422110729091,"male_pituitary","m.n2"
"SKA3",0.00417861853272844,2.37896727391328,1.64345292319771,"male_pituitary","m.n2"
"KNSTRN",0.00631893099359046,2.19935638735899,1.61843685923774,"male_pituitary","m.n2"
"MKI67",0.0520622362444972,1.28347718144793,1.60065938838631,"male_pituitary","m.n2"
"MCM10",0.0704571154489445,1.15207514103343,1.52346538371616,"male_pituitary","m.n2"
"ADRA1A",0.0174437686815544,1.75835968105563,1.46161434493141,"male_pituitary","m.n2"
"CD24",0.000286459491858392,3.54293678279323,1.43929771548987,"male_pituitary","m.n2"
"CAPN13",0.0296852793706208,1.52745885953738,1.40528434758111,"male_pituitary","m.n2"
"CDC20",0.0420378610478451,1.3763593896645,1.40328364232677,"male_pituitary","m.n2"
"MAD2L1",0.0241211168245828,1.61760258792804,1.39074870948537,"male_pituitary","m.n2"
"DLGAP5",0.0408393070854083,1.38892163513401,1.3619021935821,"male_pituitary","m.n2"
"SKA1",0.0777667948577491,1.10920580003263,1.36084318107384,"male_pituitary","m.n2"
"TBCE",1.53148221288006e-05,4.81488804286191,1.33412742231122,"male_pituitary","m.n2"
"NTN1",0.0398474982204585,1.39959894009363,1.30354402078038,"male_pituitary","m.n2"
"KNTC1",0.0106960789889432,1.97077539853445,1.25615902305988,"male_pituitary","m.n2"
"FXYD2",0.0107344101231502,1.96922181590398,1.25541029052794,"male_pituitary","m.n2"
"DIAPH3",0.0679623812836146,1.16773141261324,1.24628320313133,"male_pituitary","m.n2"
"KIF15",0.000588498901594831,3.23025434340975,1.22764792716619,"male_pituitary","m.n2"
"HMMR",0.0107983386805542,1.96664305538032,1.12989411617134,"male_pituitary","m.n2"
"PLK1",0.0653384069901015,1.1848314582267,1.12725900662634,"male_pituitary","m.n2"
"NDC80",0.0300675886738661,1.52190139955579,1.11537325086777,"male_pituitary","m.n2"
"SLC25A21",0.00382329548686054,2.4175621358408,1.10283291955894,"male_pituitary","m.n2"
"STC1",0.0868096452173443,1.06143201869501,1.08720146285767,"male_pituitary","m.n2"
"LOC107051182",0.0984886820035668,1.00661367433299,1.08648960656818,"male_pituitary","m.n2"
"AURKA",0.0507820743918529,1.29428956264831,1.05832395452631,"male_pituitary","m.n2"
"LOC428479",0.0468859860207215,1.32895694626883,1.03589305056708,"male_pituitary","m.n2"
"SLBP",0.0810413173737915,1.09129350788077,1.01771576114397,"male_pituitary","m.n2"
"RTN4RL2",0.0225617775888729,1.64662668630989,0.99612910109686,"male_pituitary","m.n2"
"CENPN",0.0256091166151804,1.59160540223323,0.99548449411296,"male_pituitary","m.n2"
"C21H1orf233",0.0978822860707229,1.00929589612137,0.982967303136652,"male_pituitary","m.n2"
"NCAPG",0.0398474982204585,1.39959894009363,0.969004902133993,"male_pituitary","m.n2"
"THADA",0.00843742481792555,2.07379008394528,0.968822050707031,"male_pituitary","m.n2"
