"gene","padj","logpadj","lfc","sextissue","direction"
"SLC32A1",6.11165517349322e-11,10.2138411571277,11.3065736276855,"male_pituitary","early"
"NPY",4.81768461451948e-07,6.31716163411291,8.72107553934183,"male_pituitary","early"
"PNOC",0.0213653787413372,1.67028940409579,8.51786904088614,"male_pituitary","early"
"SLC6A7",0.00013549322903942,3.86808240710906,8.48600583091041,"male_pituitary","early"
"VIP",3.41989432727323e-06,5.46598731318104,7.53910772414158,"male_pituitary","early"
"NCAN",0.000839061000834282,3.07620646424557,7.30942550306082,"male_pituitary","early"
"GRIN1",2.03000786283128e-13,12.6925022799303,6.62116259118524,"male_pituitary","early"
"OLIG2",7.22771559808315e-05,4.14099894474049,5.75093869376299,"male_pituitary","early"
"AGRP",0.000461819669907841,3.33552757347491,5.6491087529182,"male_pituitary","early"
"GFAP",0.00519865949992819,2.28410862691052,5.63781468530346,"male_pituitary","early"
"MC4R",9.6027736976412e-06,5.01760330575286,5.60190794379613,"male_pituitary","early"
"GHRH",4.32397993266947e-13,12.3641163302486,5.54799629852146,"male_pituitary","early"
"PCDH8",0.0057650252185032,2.23919878858909,5.50918681775386,"male_pituitary","early"
"CARTPT",2.03000786283128e-13,12.6925022799303,5.46334569453838,"male_pituitary","early"
"ADCYAP1",6.8029227352251e-11,10.167304461548,5.33947337798662,"male_pituitary","early"
"NECAB1",7.70420551103512e-05,4.11327214084742,5.25044749479489,"male_pituitary","early"
"CACNG5",5.67335863596484e-05,4.24615976205533,5.0163657136033,"male_pituitary","early"
"ANKRD55",0.0515920871393017,1.28741690254447,4.98081135786309,"male_pituitary","early"
"SLC6A11",1.04436847086283e-08,7.98114624785731,4.9736104476169,"male_pituitary","early"
"LOC101747844",0.00118107090476743,2.92772402903773,4.96862326720922,"male_pituitary","early"
"LOC100859449",0.00380679901198891,2.41944005207672,4.9530312680709,"male_pituitary","early"
"SOX21",0.00079086751964333,3.10189626025271,4.93307694372176,"male_pituitary","early"
"ISLR2",2.46654877585245e-05,4.60791029196988,4.91651296595432,"male_pituitary","early"
"SEPP1L",1.53188253837573e-06,5.81477453424061,4.85998809974316,"male_pituitary","early"
"BCAN",0.00680818003558798,2.16696896828355,4.80043190666704,"male_pituitary","early"
"MLPH",0.00222065135355783,2.65351962115057,4.77183895643226,"male_pituitary","early"
"TSHR",0.00720947684605036,2.14209624861161,4.44151368753472,"male_pituitary","early"
"GABRA2",7.95046306425016e-10,9.09960757569675,4.32614372698174,"male_pituitary","early"
"LOC421298",0.0419568162981136,1.37719747368674,4.29940849014365,"male_pituitary","early"
"LGI3",0.00013549322903942,3.86808240710906,4.27559065695611,"male_pituitary","early"
"CSPG5",2.5068396358657e-06,5.60087344724888,4.14234832034181,"male_pituitary","early"
"GABRQ",4.8568047302028e-06,5.31364935716114,4.08680799235375,"male_pituitary","early"
"KCNJ10",4.8568047302028e-06,5.31364935716114,4.041193414449,"male_pituitary","early"
"AQP4",2.18953592861052e-07,6.65964792397299,3.99957684061495,"male_pituitary","early"
"CRABP1",0.000242201788890759,3.61582265350297,3.96407750268036,"male_pituitary","early"
"NPTX1",1.37015226282919e-07,6.86323116771068,3.95888574851406,"male_pituitary","early"
"TAC1",0.00435118795923848,2.3613921559863,3.95578222023931,"male_pituitary","early"
"PDYN",1.57454126017224e-08,7.80284595437939,3.93646326231312,"male_pituitary","early"
"CCDC67",0.0155602947144056,1.8079821816633,3.92573017626741,"male_pituitary","early"
"XK",0.00708224033060065,2.14982933986501,3.8935791143457,"male_pituitary","early"
"VIT",0.000108607927157671,3.96413847497562,3.81461653488354,"male_pituitary","early"
"CDH10",1.40228774066385e-07,6.85316286271692,3.78491639637944,"male_pituitary","early"
"SLIT1",0.000283477088933962,3.54748203571865,3.69000273867924,"male_pituitary","early"
"POPDC3",0.0650572186373951,1.18670450785792,3.63414300786659,"male_pituitary","early"
"KCNJ12",0.050283726303946,1.29857254615559,3.5863302743621,"male_pituitary","early"
"RFX4",0.000977562954063804,3.00985526490688,3.54737210823548,"male_pituitary","early"
"WNT7A",0.022772415351222,1.6425909035932,3.54482396591646,"male_pituitary","early"
"KCNS2",0.00153912505219753,2.81272609279166,3.50638741329967,"male_pituitary","early"
"HEPACAM",0.00153912505219753,2.81272609279166,3.44872002648875,"male_pituitary","early"
"LOC419677",2.40105655276579e-06,5.61959761076143,3.36330005854121,"male_pituitary","early"
"SLC18A3",0.00553295298907201,2.25704301976838,3.34975569504768,"male_pituitary","early"
"NTS",6.59497733436902e-07,6.18078669269917,3.31281894482718,"male_pituitary","early"
"NEFM",0.000222733489184104,3.65221447953351,3.31122349842339,"male_pituitary","early"
"COL25A1",0.074903227380786,1.12549946930361,3.27255078590663,"male_pituitary","early"
"NKX2-3",0.0962679016461343,1.01651849440938,3.26739068359617,"male_pituitary","early"
"TRHDE",0.000772045246805674,3.11235724647489,3.23036781389697,"male_pituitary","early"
"CACNG2",4.49690328235349e-06,5.34708645296839,3.19604191044173,"male_pituitary","early"
"SLC17A6",1.37015226282919e-07,6.86323116771068,3.19600455066004,"male_pituitary","early"
"GPR37L1",0.0492680692233839,1.30743445704842,3.19263209046044,"male_pituitary","early"
"C7H2ORF66",1.65949481121289e-07,6.7800241011735,3.14008355393072,"male_pituitary","early"
"LOC101747275",0.0416197772221816,1.38070024876245,3.11341217614973,"male_pituitary","early"
