"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"pituitary","AAMP",0.354371826638523,"NS",0.0391251435255444,"hatch",-0.383814706991999,0.450540812805838
"pituitary","AARS",0.206928623531733,"NS",0.0165370124068896,"hatch",-0.406178021290893,0.684179431122189
"pituitary","ABCA4",0.133356563464352,"NS",0.00844988586350483,"m.n2",1.48708808874958,0.874985604599507
"pituitary","ABCB11",0.0918565098519606,"m.n2",0.00480716191412527,"m.n2",0.700754200785452,1.03689005990688
"pituitary","ABCC3",0.354883534097101,"NS",0.0392610082451243,"hatch",-0.430095482034019,0.449914150600741
"pituitary","ABCC8",0.10513732212724,"NS",0.00576867966942364,"hatch",-0.757617133514976,0.97824308876113
"pituitary","ABCC9",0.0918565098519606,"hatch",0.00479931673060579,"hatch",-0.658616598693226,1.03689005990688
"pituitary","ABCF2",0.037487060481011,"hatch",0.00142246263492132,"hatch",-0.381369073805197,1.42611861311079
"pituitary","ABCG1",0.263228243671892,"NS",0.0241760247654518,"m.n2",0.396265117669211,0.579667513945734
"pituitary","ABL2",0.355771445983045,"NS",0.0394122833405997,"m.n2",0.334135386296623,0.448828911085228
"pituitary","ABLIM1",0.2600650066758,"NS",0.0237691738619748,"m.n2",0.470629237255585,0.584918080829923
"pituitary","ABLIM3",0.000461967042990506,"m.n2",5.02811900079126e-06,"m.n2",1.04741879891748,3.33538900617093
"pituitary","AC005943.2",0.109614811934788,"NS",0.00616961256976033,"hatch",-0.540008485347392,0.960130756920023
"pituitary","AC024592.12",0.162164994755392,"NS",0.0115210407038832,"hatch",-0.548669292339217,0.790042887642015
"pituitary","ACAA2",7.71036443827602e-06,"hatch",2.75859106413017e-08,"hatch",-0.61863380725348,5.11292509409019
"pituitary","ACAT1",0.373626686615267,"NS",0.04250442252683,"hatch",-0.279813216825837,0.427562111468085
"pituitary","ACBD4",0.266086722768461,"NS",0.024597460864445,"hatch",-0.491409968153801,0.574976795393188
"pituitary","ACOT11",0.0989601601779354,"hatch",0.00540024133369977,"hatch",-0.531126254691859,1.00453961042484
"pituitary","ACP5",0.343837487612598,"NS",0.0371184701662828,"hatch",-0.91521045130186,0.463646775188984
"pituitary","ACRBP",0.105431225390277,"NS",0.00579266535803149,"m.n2",1.38821893299926,0.977030745799725
"pituitary","ACSM4",0.12420383083231,"NS",0.00743917859213356,"m.n2",0.655224034466223,0.905865008960757
"pituitary","ACSM5",0.0637070478398568,"m.n2",0.00293981382234019,"m.n2",0.8342634739037,1.19581251949127
"pituitary","ACSS3",0.125917621482646,"NS",0.00764526101493249,"hatch",-0.667267417692368,0.899913488500878
"pituitary","ACTR10",0.0488320125947146,"hatch",0.00206191409468106,"hatch",-0.411643392582692,1.31129537604832
"pituitary","ACYP2",0.0147110758943171,"hatch",0.000373973227967953,"hatch",-0.596066157144532,1.83235556399047
"pituitary","ADAMTS1",0.275792559190598,"NS",0.0263168686271034,"hatch",-0.868725075734931,0.559417455150946
"pituitary","ADAMTS2",0.381339082030706,"NS",0.0436660824511082,"m.n2",1.2405884902739,0.418688683211795
"pituitary","ADAMTSL2",0.00178436345167569,"hatch",2.77859677831282e-05,"hatch",-1.99007267261338,2.74851668080036
"pituitary","ADARB1",2.29859648607299e-05,"hatch",1.19950614302303e-07,"hatch",-0.758724460852382,4.63853726155057
"pituitary","ADARB2",0.0409386436814881,"hatch",0.00162362892787771,"hatch",-0.707815333655792,1.38786654983675
"pituitary","ADCY1",0.370421368052062,"NS",0.0418360200237717,"hatch",-0.726955550366686,0.431303968643906
"pituitary","ADCY3",0.300581678372026,"NS",0.0300172810429499,"hatch",-0.494056859122568,0.522037494888259
"pituitary","ADCY5",0.0208438861831031,"m.n2",0.000626217841940551,"m.n2",0.462714213509263,1.68102130693999
"pituitary","ADCY7",0.314473915080104,"NS",0.0320944378816656,"m.n2",0.349570434214354,0.502415372497241
"pituitary","ADCY9",0.300581678372026,"NS",0.0300267965572175,"m.n2",0.414368604639468,0.522037494888259
"pituitary","ADGRF5",0.352458890800458,"NS",0.0387825646952047,"hatch",-0.455587013456026,0.452891529848899
"pituitary","ADGRL4",0.300548775123484,"NS",0.0299338872495135,"hatch",-0.501032601864483,0.522085037644445
"pituitary","ADIPOQ",0.201599673081217,"NS",0.0157805022167346,"hatch",-2.7960147000113,0.695510176488113
"pituitary","ADIRF",0.00335648948323397,"m.n2",6.13454232989056e-05,"m.n2",2.9357641581642,2.47411470923598
"pituitary","ADMP",0.0254920782827465,"hatch",0.000834279287768429,"hatch",-1.70473443850732,1.59359475653014
"pituitary","ADRB2",0.134669212085139,"NS",0.00859377110070668,"m.n2",0.823062317617252,0.870731680816363
"pituitary","ADSSL1",0.116495369431532,"NS",0.00677630375026072,"hatch",-1.17494305656877,0.933691337043984
"pituitary","AEBP1",0.00018687592608062,"m.n2",1.62997490319312e-06,"m.n2",1.54954963780763,3.72844664214042
"pituitary","AFF4",0.208450137424438,"NS",0.016726029823751,"m.n2",0.320961466373061,0.680997814221275
