"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"pituitary","ABCA5",0.24854911552475,"NS",0.0110803914629343,"extend",0.354304598581992,0.60458777798225
"pituitary","ABI3BP",0.242815008701149,"NS",0.0106980520458013,"inc.d17",-1.23327126171856,0.614724472478837
"pituitary","AC005943.2",0.00363601043625193,"inc.d17",1.46372866823919e-05,"inc.d17",-0.75753100145477,2.43937487891538
"pituitary","AC024592.12",0.253064379688703,"NS",0.0113571460095869,"inc.d17",-0.538977502647172,0.596768980062273
"pituitary","ACHE",0.43734994304217,"NS",0.0296639154359509,"extend",1.33507316312961,0.359170925698509
"pituitary","ACKR2",0.466115401466381,"NS",0.0339492133019721,"inc.d17",-0.679036072711751,0.331506546796324
"pituitary","ACSBG2",0.46781345676261,"NS",0.0341465729348171,"inc.d17",-0.547743505125767,0.329927289765664
"pituitary","ACSL4",0.182428039666905,"NS",0.00681351184382879,"extend",0.33283986097057,0.738908408679156
"pituitary","ACVR2A",0.122901641647579,"NS",0.00349995729158903,"extend",0.350946916680242,0.910442316025481
"pituitary","ACYP1",0.479914984120512,"NS",0.0361707208100371,"inc.d17",-0.571407499475336,0.318835690119124
"pituitary","ACYP2",0.311180032234381,"NS",0.0168630689238253,"inc.d17",-0.435235637589857,0.50698827854818
"pituitary","ADAM19",0.489108559100902,"NS",0.0380668954600672,"extend",1.11009333925482,0.310594737224173
"pituitary","ADAMTS1",0.00186699586766051,"extend",4.87139222961963e-06,"extend",1.60737142427836,2.72885664330118
"pituitary","ADAMTSL2",0.0655594486944486,"inc.d17",0.00120986984313545,"inc.d17",-1.50874059577882,1.18336470717545
"pituitary","ADCY9",0.331998179238299,"NS",0.0190823465180206,"extend",0.428960705927554,0.478864298069843
"pituitary","ADCYAP1",0.479190967940746,"NS",0.0358731697593363,"extend",1.58320915307592,0.319491376366787
"pituitary","ADNP",0.528622814333738,"NS",0.0434132035186706,"extend",0.255458256453403,0.276854097493677
"pituitary","ADRM1",0.28907010764033,"NS",0.014675469159316,"inc.d17",-0.310031696146645,0.538996815828695
"pituitary","ADSL",0.532828502595633,"NS",0.0441309427749924,"inc.d17",-0.326491766783846,0.273412551501203
"pituitary","AEBP1",0.0477588000063354,"inc.d17",0.000729875801498342,"inc.d17",-1.10408247804457,1.32094659387982
"pituitary","AFF1",0.222604752265351,"NS",0.00945743671463913,"extend",0.338794646038602,0.652465568390403
"pituitary","AFF4",0.43734994304217,"NS",0.0297348403201476,"extend",0.299829578471187,0.359170925698509
"pituitary","AGRP",0.444616368258849,"NS",0.030692914641993,"extend",2.91604469599604,0.352014553077323
"pituitary","AHCY",0.106873561362806,"NS",0.0027487236223474,"inc.d17",-0.411704665720656,0.971129718311959
"pituitary","AIMP1",0.00979051869548574,"inc.d17",5.98495998978553e-05,"inc.d17",-0.570445576799059,2.00919429894049
"pituitary","AIMP2",0.0188974272464336,"inc.d17",0.000172558231565005,"inc.d17",-0.480429754683327,1.7235973179819
"pituitary","AK1",0.271139639225746,"NS",0.0130401460420817,"inc.d17",-0.491754858582939,0.566806986150361
