"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"pituitary","ABCC8",4.25990347182865e-08,"inc.d17",2.15948588105225e-10,"inc.d17",1.49983478349608,7.37060024177219
"pituitary","ABCC9",6.62327938066625e-09,"inc.d17",2.61692118067177e-11,"inc.d17",1.29339066977845,8.17892692532113
"pituitary","ABCE1",0.00200186589503072,"inc.d17",3.07428339329304e-05,"inc.d17",0.420298107765862,2.69856501926374
"pituitary","ABCG4",0.35582383519642,"NS",0.0213006217133387,"inc.d9",-0.600759212968465,0.448764963650716
"pituitary","AC005943.2",0.489207271354503,"NS",0.0370544989879854,"inc.d17",0.424445569570408,0.310507096432016
"pituitary","ACOT12",0.533469727619523,"NS",0.0452783957719528,"inc.d17",1.80373375376943,0.272890220102329
"pituitary","ACPP",0.502263587314947,"NS",0.0397800514024268,"inc.d9",-0.898709565173423,0.299068305816968
"pituitary","ACSBG2",0.00751564356535364,"inc.d17",0.000142872305737675,"inc.d17",0.850014286182667,2.12403382480231
"pituitary","ACSM5",0.453212816894149,"NS",0.0323675174134929,"inc.d17",0.607279233334209,0.343697816752825
"pituitary","ACTL6A",0.443434464025471,"NS",0.0313385919111485,"inc.d17",0.87954537937908,0.353170556249885
"pituitary","ACTN2",0.443507020720867,"NS",0.0314156914073122,"inc.d9",-1.10851930158469,0.35309950089156
"pituitary","ACVR1B",0.461749697521386,"NS",0.0332525874314641,"inc.d9",-0.374968660534009,0.335593380381139
"pituitary","ADA",0.211239498312084,"NS",0.00916515491409222,"inc.d9",-0.719150004874802,0.675224872619597
"pituitary","ADAMTS8",0.524205001232178,"NS",0.0432213158910682,"inc.d17",1.12755990066124,0.280498839938109
"pituitary","ADAMTSL2",0.1381777068735,"NS",0.00486963724963497,"inc.d17",1.28178652205778,0.859562018921258
"pituitary","ADAMTSL5",0.512129824955003,"NS",0.0411948770781607,"inc.d9",-0.649681421530322,0.290619931378636
"pituitary","ADARB1",5.48179736854233e-10,"inc.d17",1.59378334108507e-12,"inc.d17",0.91251710610102,9.26107702194325
"pituitary","ADARB2",3.14842850009189e-06,"inc.d17",2.34712129125682e-08,"inc.d17",1.08611571841659,5.50190616495304
"pituitary","ADRA1D",0.280439059166574,"NS",0.0146972311461236,"inc.d9",-0.74908493986083,0.552161498554338
"pituitary","AFF2",0.258655420090503,"NS",0.0130735332355271,"inc.d17",0.403550477547755,0.587278416575473
"pituitary","AGBL5",0.428871149845113,"NS",0.0293182379907536,"inc.d9",-0.443794523761556,0.367673167760667
"pituitary","AGR2",0.00252619108872517,"inc.d17",4.03015426410606e-05,"inc.d17",1.47619595827839,2.59753380119159
"pituitary","AGRN",0.370860338081672,"NS",0.0226983999973947,"inc.d9",-0.614513920549491,0.430789610115191
"pituitary","AHDC1",0.122276094986228,"NS",0.00418692894799095,"inc.d9",-0.553467078633862,0.912658439368693
"pituitary","AIMP2",0.104762438366392,"NS",0.00346761015615613,"inc.d17",0.396603653298437,0.97979440183954
"pituitary","AJAP1",0.229528315287769,"NS",0.0103351052954981,"inc.d9",-0.76367515868991,0.639163730977733
"pituitary","AKR1D1",0.466456848143593,"NS",0.0340088562311342,"inc.d17",0.941377904978232,0.331188526579733
"pituitary","ALDH18A1",0.467568572763335,"NS",0.0341944811302245,"inc.d17",0.332232736690218,0.330154687275268
"pituitary","ALG1",0.533469727619523,"NS",0.0452201798683877,"inc.d17",0.300344712746102,0.272890220102329
"pituitary","ALG12",3.16967159456568e-05,"inc.d17",3.02458598557035e-07,"inc.d17",0.611373824859437,4.49898573212177
