"sextissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"pituitary","ABCB5",1,"NS",0.0124904324397444,"n5",-3.65686304666081,0
"pituitary","ABCC1",1,"NS",0.0479463299902583,"extend",0.422913415334266,0
"pituitary","ABCC9",1,"NS",0.0145194738660939,"extend",0.588689865624835,0
"pituitary","ABI3BP",1,"NS",0.0490479940433949,"n5",-1.00087595888789,0
"pituitary","ACSL4",1,"NS",0.0175086096783509,"extend",0.312474878551013,0
"pituitary","ACSM3",1,"NS",0.0394256588593613,"extend",0.685486171787092,0
"pituitary","ADAMTS1",0.229306536028265,"NS",0.000553151731647132,"extend",1.26879716905259,0.639583566200918
"pituitary","ADAMTSL1",1,"NS",0.0240079774847637,"extend",1.09612528827118,0
"pituitary","ADAP1",1,"NS",0.0378485044165902,"n5",-0.590298600614673,0
"pituitary","ADARB1",0.407021888049397,"NS",0.00139839391362,"extend",0.51250260736673,0.390382235483688
"pituitary","ADARB2",1,"NS",0.0142422743359923,"extend",0.580805401360355,0
"pituitary","AEBP1",0.128881979796262,"NS",0.000197845144424087,"n5",-1.22090168878822,0.889807801204699
"pituitary","AFF2",0.288076613567237,"NS",0.000842329279436366,"extend",0.513390262596486,0.540491996877352
"pituitary","AGR2",0.570126275139843,"NS",0.00241720204372156,"extend",1.19725792003669,0.244028943410373
"pituitary","AJAP1",1,"NS",0.0296930339387726,"n5",-0.677878623507521,0
"pituitary","ALAS1",1,"NS",0.0195425732275461,"n5",-0.443418219792078,0
"pituitary","ALDH18A1",0.124593386276877,"NS",0.000182154073504206,"extend",0.50392940972195,0.904505010483352
"pituitary","ALDH1A2",0.0957660302669526,"n5",0.000105006612134816,"n5",-1.09202909577684,1.01878851476115
"pituitary","ALDOB",1,"NS",0.0147863958170665,"extend",0.760074708110092,0
"pituitary","ALG12",1,"NS",0.0368102612818319,"extend",0.342650839120373,0
"pituitary","ALPL",1,"NS",0.0389455962776583,"n5",-0.709585654191268,0
"pituitary","ANKRD42",1,"NS",0.0438922891743454,"n5",-0.924770211017638,0
"pituitary","APOBEC2",0.706897845874282,"NS",0.00384263689733534,"n5",-0.933236677862432,0.150643341759748
"pituitary","AQP2",1,"NS",0.0462927793481082,"n5",-1.06941565125694,0
"pituitary","ARFGAP3",1,"NS",0.0316657714051711,"extend",0.351239250787876,0
"pituitary","ARHGDIG",1,"NS",0.0293837426073263,"n5",-0.729714349521542,0
"pituitary","ARID3A",1,"NS",0.0272785436095702,"n5",-0.567698319043259,0
"pituitary","ARL13A",0.830120685806523,"NS",0.00558004508115968,"n5",-2.55093618566651,0.0808587638050971
"pituitary","ASB14",1,"NS",0.0207792496281662,"extend",0.502068330668292,0
"pituitary","AVPR2",1,"NS",0.0149044203479067,"n5",-0.967299129587216,0
"pituitary","B4GALT2",1,"NS",0.0259703133284669,"n5",-0.41518761536102,0
"pituitary","BCAS1",1,"NS",0.039125973215629,"extend",1.11686648742716,0
"pituitary","BDNF",1,"NS",0.012501409740878,"n5",-1.53916945711699,0
"pituitary","BET1",1,"NS",0.0482412391048069,"extend",0.41117957491327,0
"pituitary","BTC",0.0486651255630274,"n5",3.72027225654692e-05,"n5",-1.67072145260092,1.31278215174489
"pituitary","C10H15ORF59",0.830120685806523,"NS",0.00546482399049469,"n5",-0.634248299922521,0.0808587638050971
"pituitary","C13H5ORF45",1,"NS",0.0404813701785709,"n5",-0.523187562225698,0
"pituitary","C18H17ORF106",1,"NS",0.0480884221678143,"n5",-0.509274889487424,0
"pituitary","C26H6ORF132",1,"NS",0.0257190544370286,"n5",-0.666283021017319,0
"pituitary","C2H7ORF63",1,"NS",0.0201009475122173,"extend",0.469220081758675,0
"pituitary","C6H10ORF71",1,"NS",0.0403652254967464,"extend",1.08472191388033,0
"pituitary","C8H1ORF52",1,"NS",0.0118003863614572,"n5",-0.476720946830618,0
"pituitary","CALB2",0.201054617140904,"NS",0.000404254996388029,"n5",-1.10639155829056,0.696685949043077
"pituitary","CALML4",1,"NS",0.0420486437759143,"n5",-0.603255672096235,0
"pituitary","CALN1",1,"NS",0.0196711630116067,"extend",0.904002857299565,0
"pituitary","CAPN2",1,"NS",0.0492768091171628,"n5",-0.594758945793646,0
"pituitary","CBS",1,"NS",0.0194320744253918,"extend",0.56872322049182,0
"pituitary","CCSAP",1,"NS",0.0173999517036302,"extend",0.39910713848173,0
"pituitary","CD44",0.570126275139843,"NS",0.0023569612753099,"extend",1.42494245374387,0.244028943410373
"pituitary","CD86",1,"NS",0.0442315806632862,"extend",1.09812500834012,0
"pituitary","CD99",1,"NS",0.00990805642567733,"n5",-0.689410810059152,0
"pituitary","CDK8",0.326684076112222,"NS",0.00102685784158081,"extend",0.552137920737127,0.485872034257768
"pituitary","CDKN3",0.651719766289463,"NS",0.00290606036137845,"extend",0.745847513910937,0.185939106900272
"pituitary","CEBPA",0.201054617140904,"NS",0.000440909248116018,"n5",-1.28727780703018,0.696685949043077
"pituitary","CEBPD",0.830120685806523,"NS",0.00578650009203326,"extend",0.820345847097446,0.0808587638050971
"pituitary","CG-16",1,"NS",0.00936042084008434,"n5",-0.77744849272851,0
"pituitary","CHDH",1,"NS",0.0128731802178524,"n5",-0.51296929857735,0
"pituitary","CHGA",1,"NS",0.0424900300743733,"n5",-0.509238066470142,0
"pituitary","CHGB",0.878827794285113,"NS",0.00668114697409735,"n5",-0.767153427522598,0.0560962163011738
"pituitary","CHODL",1,"NS",0.0113061096327054,"extend",1.213988713152,0
