"","x"
"1","ADRA2A"
"2","AHR"
"3","ANXA1"
"4","AR"
"5","AREG"
"6","ATP2C2"
"7","AVP"
"8","AVPR1A"
"9","BMP4"
"10","BMP7"
"11","BRCA2"
"12","BRINP1"
"13","BTRC"
"14","CAV3"
"15","CCND1"
"16","CD44"
"17","CDKN1B"
"18","CEBPB"
"19","CHUK"
"20","COMT"
"21","CREBRF"
"22","CRH"
"23","CRHBP"
"24","CRHR1"
"25","CRHR2"
"26","CSF1"
"27","CTNNB1"
"28","CYP19A1"
"29","CYP7B1"
"30","DBH"
"31","DEAF1"
"32","DRD1"
"33","DRD4"
"34","EAF2"
"35","EPHA2"
"36","ERBB4"
"37","ESR1"
"38","ESR2"
"39","ETV5"
"40","FEM1B"
"41","FGF10"
"42","FGF2"
"43","FGFR2"
"44","FKBP4"
"45","FOS"
"46","FOXA1"
"47","FRS2"
"48","GLI2"
"49","GNAQ"
"50","GPX1"
"51","HIF1A"
"52","HOXA5"
"53","HTR2C"
"54","ID2"
"55","ID4"
"56","IGF1"
"57","IGF1R"
"58","JAK2"
"59","KALRN"
"60","LATS1"
"61","LBH"
"62","LRP5"
"63","LRP6"
"64","MAPK1"
"65","MBD2"
"66","MED1"
"67","MEST"
"68","MMP2"
"69","MST1"
"70","MSX1"
"71","MSX2"
"72","NCOA3"
"73","NKX3-1"
"74","NOG"
"75","NPAS3"
"76","NR3C1"
"77","NTN1"
"78","OPRK1"
"79","OPRM1"
"80","ORAI1"
"81","OXT"
"82","PGR"
"83","PHB2"
"84","PLAG1"
"85","PML"
"86","PRL"
"87","PRLR"
"88","PSAP"
"89","PTCH1"
"90","PTEN"
"91","PTHLH"
"92","PYGO2"
"93","RLN1"
"94","ROBO1"
"95","RREB1"
"96","RTN4"
"97","RXRA"
"98","SCRIB"
"99","SERPINB5"
"100","SERPINF1"
"101","SFRP1"
"102","SHH"
"103","SLC12A2"
"104","SLC6A4"
"105","SLIT2"
"106","SMO"
"107","SOSTDC1"
"108","SOX9"
"109","SRC"
"110","STAT6"
"111","STK11"
"112","SULF1"
"113","TBX3"
"114","TFAP2C"
"115","TGFB1"
"116","TNC"
"117","TNFSF11"
"118","UBE3A"
"119","VDR"
"120","WDR77"
"121","WNT4"
"122","WNT5A"
"123","ZFX"
