"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EIF2B1",298.804654615372,-0.995792373263319,0.112746121343465,-8.83216523457851,1.02668627891455e-18,1.37534893923393e-14
"DYRK1A",2138.66542005985,-1.64591269066083,0.198940185547562,-8.27340482331727,1.30186731316048e-16,8.71990726354889e-13
"MARK1",1154.00547331181,-0.661970263641566,0.0812791895574243,-8.14440039628939,3.81165970654389e-16,1.7020331142954e-12
"SOGA3",3678.80140263203,-1.08160727292436,0.133850214786187,-8.08072870598018,6.43808927642437e-16,1.72489287893962e-12
"RASAL3",686.108201456061,1.32622759637393,0.163697941285978,8.10167547591221,5.42073850819113e-16,1.72489287893962e-12
"CCNT2",989.693954715467,-0.897320651385545,0.111660443164503,-8.03615520371503,9.27013115228605e-16,2.06971128193373e-12
"CDKL5",357.752496938948,-1.80855045389534,0.229299126337009,-7.88729762204695,3.08800351374459e-15,5.90955643858894e-12
"MLLT1",729.753503558893,0.768456479806161,0.0990326288661513,7.75962921114391,8.51780455530516e-15,1.42630637278585e-11
"COX3",53937.8015753786,-1.42084767279049,0.184373334784809,-7.70636206395479,1.29455018239618e-14,1.92686602704213e-11
"GYG1",1012.16889830776,-0.734112671084086,0.0959559573373311,-7.65051687727244,2.00173063129043e-14,2.68151835367665e-11
"C14ORF4",975.08150381805,1.06448822995903,0.141559149644632,7.5197416248353,5.48845973306638e-14,6.6839460531052e-11
"ERCC8",210.663725148903,-0.915567159811546,0.123045184953481,-7.44090197562536,1.00000132502454e-13,1.11633481250239e-10
"NFIA",786.135414153869,1.29594242291471,0.176816010523767,7.3293273560231,2.31310746317211e-13,2.38356827512719e-10
"LRIF1",301.511021995689,0.707905338734137,0.0967236206425673,7.31884656541272,2.50111367361304e-13,2.3932084836943e-10
"AP3D1",2031.84893048702,0.68678930388713,0.0943331372397008,7.28046711880255,3.32666263975994e-13,2.78524829513901e-10
"LOC107056154",982.721951396781,-1.09880103622799,0.150865912178417,-7.28329561238806,3.25762317075351e-13,2.78524829513901e-10
"NKTR",3743.71534092278,-0.856991491222438,0.118229457856144,-7.24854454010258,4.21273903122029e-13,3.13521400345705e-10
"LOC101748081",63.198272618992,2.40901122604233,0.332198578033368,7.25172046281411,4.11510519745883e-13,3.13521400345705e-10
"SCN2A",5881.66090436857,-1.04664863475983,0.14536869194845,-7.19995908837778,6.0230628773717e-13,4.24657633185639e-10
"COX1",286265.915249565,-1.11785167085262,0.155767666983612,-7.17640375887653,7.15689903694474e-13,4.72895989705919e-10
"ZNF207",2719.88703174867,-0.488521033769345,0.0681789668534791,-7.16527481003354,7.76306677122838e-13,4.72895989705919e-10
"SF3B1",7175.42713930415,-0.574839656247645,0.0802264006294114,-7.16521807955704,7.76628230332205e-13,4.72895989705919e-10
"HIPK1",1061.36495424957,0.560590923685086,0.0790743058353304,7.08941947403873,1.34675737328938e-12,7.84398337938456e-10
"RMDN3",843.278080006528,0.935656378509556,0.132236830121848,7.07561106574775,1.48791634780927e-12,8.30505308135542e-10
"ZNF711",1207.17736973548,-0.752644538511573,0.106490426414067,-7.06772020599361,1.57499698651502e-12,8.4394638525421e-10
"RABL6",798.398276774781,0.839792902770402,0.119499179981994,7.02760389566643,2.10110350838055e-12,1.07004745498359e-09
"N4BP2",642.873887402513,-0.928294638195751,0.132161204377326,-7.0239571632945,2.15670956140318e-12,1.07004745498359e-09
"NACA",1163.98432988907,-1.0032803555963,0.1435179203894,-6.990627740941,2.73658996580001e-12,1.30926282792346e-09
"USP22",245.266707336889,-1.26335695217022,0.183267847385614,-6.89350025218549,5.4436022815425e-12,2.51456883322563e-09
"C4H20ORF194",1595.8736828479,-2.33441227023593,0.341236176242606,-6.84104568261323,7.86171788951851e-12,3.510519094933e-09
"POLD2",600.739872301895,0.852280236211066,0.125124294136185,6.81146888455927,9.66071945831487e-12,4.17467735043826e-09
"LOC422179",9470.47051684958,-1.39318290800193,0.205916395787536,-6.76576968372841,1.32602344942394e-11,5.55106566515098e-09
"BANF1",73.6696299524686,1.85641782022019,0.275702607177012,6.73340683727483,1.65735796051138e-11,6.72786886030618e-09
"DNAJC19",501.467347295881,-0.759848148660298,0.112933812136313,-6.72826086613589,1.71702892168806e-11,6.76509395145094e-09
"RP11-234B24.6",355.28509568146,-0.605943949428311,0.0901460614244209,-6.72180170551698,1.79491116824469e-11,6.82458618104364e-09
"ANKRD11",2817.06457198829,0.823580356831014,0.122581022961876,6.71866115105889,1.83401838248411e-11,6.82458618104364e-09
"DCAF7",1177.78639365175,0.613736781685923,0.0915031868682496,6.70727220211039,1.9829616525194e-11,7.17939305328377e-09
"SCAP",666.512419345347,1.19116292612808,0.17796503083765,6.69324147851684,2.18280489734824e-11,7.69496168549397e-09
"WDR19",469.448401426402,-0.713795541282605,0.106735315667413,-6.6875292101706,2.2696991890501e-11,7.79612572731157e-09
"MAFG",138.460815189947,1.12641242054332,0.168900897940261,6.66907301429338,2.5742416899303e-11,8.62113541957657e-09
"PYGO2",156.389881129416,1.56584262035616,0.23531928096385,6.65411951771479,2.85001012917766e-11,9.31188675377169e-09
"PRMT8",1468.20222371869,-0.612128940311125,0.0920493194771453,-6.65001049207223,2.9307212695423e-11,9.34760526828301e-09
"LUZP1",330.298609030748,0.948899697940406,0.14284219310447,6.64299306330596,3.07376311269226e-11,9.48700506944864e-09
"ESYT1",695.489498235719,1.25464621496671,0.188924890580218,6.64097891555474,3.11606616195685e-11,9.48700506944864e-09
"OTUD7A",234.65808194429,-1.05597620995774,0.159115375476611,-6.63654412274546,3.21122843871855e-11,9.55947025890526e-09
"VPS13A",1742.42764408111,-0.890843527344692,0.134532590357199,-6.62176744667895,3.54929139502814e-11,1.03361538103906e-08
"ZFC3H1",2682.53037710264,-0.592344151738342,0.0898456055925661,-6.59291178273668,4.31282871502125e-11,1.22924794609414e-08
"AGXT2L2",236.502748674755,-1.03273358315983,0.157081983163428,-6.57448780797076,4.8820929945454e-11,1.36251078656105e-08
"SNU13",943.774821789692,-0.50897457223969,0.0775767089607426,-6.56091988250306,5.34768490477258e-11,1.46199157110885e-08
"DYTN",283.586996797884,-1.27585985358445,0.19467219693817,-6.55388840138108,5.60578668905286e-11,1.47245330365788e-08
"IGFBP5",111.924311735256,1.89237423498245,0.288719352647922,6.55437267237884,5.58762669734038e-11,1.47245330365788e-08
"CSRNP3",1460.31789367391,-0.96779353169521,0.148044988212362,-6.53715835558693,6.26986542014164e-11,1.58473805977769e-08
"MDN1",710.288152404516,-0.871598454591214,0.133296381275666,-6.53880057545365,6.20141494321246e-11,1.58473805977769e-08
"RBM5",11824.1693403561,-0.532956354814795,0.0815812242912247,-6.53283104593126,6.45379360162584e-11,1.60101887198851e-08
"STK40",1068.87910837788,0.564279981645361,0.0865079258615156,6.52287031535904,6.8974497653346e-11,1.6799679464804e-08
"LOC101747947",360.156698922972,1.35389285689903,0.207684960419847,6.51897399870485,7.07899225070205e-11,1.69339607482865e-08
"RPS24",2040.71188199984,-1.10024953723226,0.169050724924407,-6.5083988118019,7.59560461440098e-11,1.78510034060554e-08
"ZNF516",352.502656123248,0.904903987006294,0.139809126810484,6.4724242805187,9.64428546951468e-11,2.22749738188998e-08
"CAPN2",2262.18030971447,1.90169405011292,0.294448299533844,6.4584990068667,1.05746557146848e-10,2.40098454159182e-08
"RPS15A",1711.84004029733,-1.62732322250674,0.25383021502635,-6.41106978669901,1.44502026321464e-10,3.19369607921459e-08
"MAPRE2",3116.713535051,-0.8088350866785,0.126181432123343,-6.41009594730119,1.45428083631002e-10,3.19369607921459e-08
"PNISR",4057.0795382625,-0.595991453019392,0.0932854879390605,-6.38889784666966,1.67085625237713e-10,3.61012747691032e-08
"AMBRA1",650.237503462386,0.608214658467969,0.0952712277719304,6.38403296243828,1.72483938016409e-10,3.66761084709176e-08
"SF3A1",1309.74053279423,0.786223913424655,0.123238905702758,6.37967295263852,1.77466562070039e-10,3.71459697732851e-08
"PSMF1",1030.54313707693,0.907270074244427,0.142458936428444,6.36864276113799,1.90708214870672e-10,3.93034960985773e-08
"ZBTB7A",295.016317915093,1.00574745243229,0.158019008032055,6.36472450344878,1.95640570185662e-10,3.97091072455625e-08
"MRP63",166.290377073482,-1.03854038529976,0.163433411521056,-6.35451695974639,2.09082579471769e-10,4.18040333522958e-08
"APIP",810.909661344101,-0.650972291425074,0.102966403368523,-6.32218150900354,2.5789618898387e-10,5.08055492298224e-08
"SOD2",1050.90982566591,-0.837748161389624,0.133284078641789,-6.28543311344136,3.26940906409147e-10,6.16859208768583e-08
"SMG5",450.76780918967,0.806132813945755,0.128197658793461,6.28820230831606,3.21163210639077e-10,6.16859208768583e-08
"TM9SF4",805.147703258277,0.59194033000922,0.0941605500770854,6.28650033931006,3.24702307674661e-10,6.16859208768583e-08
"PAXBP1",1622.68458787516,-0.791268816308479,0.125973375199899,-6.28123851609807,3.35886361249655e-10,6.24935235458386e-08
"CPSF6",1776.8323430884,-0.603697502818831,0.0963478145410723,-6.2658141826505,3.70882390680007e-10,6.7139736561478e-08
"RPF1",267.771670205461,-0.778875943157672,0.124269912934565,-6.267614781124,3.6662036929788e-10,6.7139736561478e-08
"APBA1",1511.47171138143,-0.667405611225503,0.106561207842384,-6.26311980446645,3.77350476072865e-10,6.73998263662947e-08
"ANKRD10",721.101924226288,-0.995608308908484,0.159611273128534,-6.2377067070114,4.44032164182801e-10,7.73200214458925e-08
"RAD51C",913.177709338623,-0.714364279108768,0.114526144736554,-6.23756506212645,4.44434282721239e-10,7.73200214458925e-08
"CNRIP1",412.209047499959,-0.781626438399662,0.125447515886584,-6.23070479216445,4.64341381350961e-10,7.97476556997112e-08
"TUB",150.406801460185,-1.75793004642929,0.282814065958262,-6.2158508293174,5.10472818291739e-10,8.65606819472928e-08
"TRIM7.2",772.989427822291,1.29465747717069,0.208528248746574,6.20854721100206,5.34766579719245e-10,8.95466637739876e-08
"C12ORF10",172.34839456953,1.56090746539588,0.252197470425185,6.18922728592127,6.04598545485555e-10,9.99901495719074e-08
"PPP1R15B",852.405468114531,0.731414464680461,0.118337606573707,6.18074410880447,6.38001594693401e-10,1.04227675152595e-07
"GNPDA2",403.124028186865,-1.19038825118378,0.193131743128417,-6.16360745210209,7.11060880441086e-10,1.14366736575126e-07
"TET1",545.684858959621,-1.29273351854098,0.209782372907839,-6.16225996789968,7.17139882973317e-10,1.14366736575126e-07
"PCOLCE",1743.26752737178,1.49146245382083,0.243148012488859,6.13396934054382,8.57130442571017e-10,1.35083757749192e-07
"ZNF704",365.074433713236,-1.0714849273328,0.174779306685863,-6.13050221819807,8.7602095760695e-10,1.3645554358259e-07
"EIF4B",1180.46048140901,1.08661459202175,0.17784036534564,6.1100560039329,9.95961840813235e-10,1.53355227810737e-07
"CTD-2116N17.1",374.410143792015,0.889664488455459,0.145711311082331,6.10566524895773,1.02373372421163e-09,1.53853436819842e-07
"ECM1",120.460673370976,2.32064595258584,0.380341068335906,6.10148665443698,1.05086415788398e-09,1.53853436819842e-07
"RFX3",1074.47198770011,-0.993447841541455,0.162807387209722,-6.10198258548142,1.04760791583689e-09,1.53853436819842e-07
"CAMK2A",560.977758240347,-1.35004476528074,0.221296564873267,-6.1006132926369,1.05662258789381e-09,1.53853436819842e-07
"MIEF1",212.149546923312,1.14313102449354,0.187205187549896,6.10629993460442,1.01967309499739e-09,1.53853436819842e-07
"FAM135B",64.7760157855614,-1.97364101077631,0.323624256639855,-6.09855710838349,1.07030160436308e-09,1.54169465505891e-07
"STK11",420.58284521065,0.740105170599842,0.121495324094157,6.09163501655648,1.11763266067551e-09,1.59274543855417e-07
"FNBP1L",1429.04391281001,-0.934678294472178,0.15359707514507,-6.08526102199141,1.16301678066557e-09,1.63997608355748e-07
"HSBP1",1128.72349616798,-0.688165871606998,0.113138602610797,-6.08250283923274,1.18320800900014e-09,1.65106817589228e-07
"CLTB",2262.06694768226,0.823346215985782,0.135592921020418,6.07219174710309,1.26176142290341e-09,1.70680625464342e-07
