MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:3578169	7a6ex	7a6 exencephaly	6		neural tube closure	has the participant neural tube		IMP	MGI:3578153 	J:98216 	
MGI:3578159	12aex	12a exencephaly	4		neural tube closure	has the participant neural tube		IMP	MGI:3578166 	J:98216 	
MGI:3578162	31bex	31b exencephaly	2		neural tube closure	has the participant neural tube		IMP	MGI:3578167 	J:98216 	
MGI:3578212	38dlp	38dlp	2		lateral mesoderm development	results in the development of mesenchyme		IMP	MGI:3578212 	J:98216 	
MGI:3578150	97c2	97c2 exencephaly	7		neural tube closure	has the participant neural tube		IMP	MGI:3578153 	J:98216 	
MGI:1914283	2610005L07Rik	RIKEN cDNA 2610005L07 gene	8		embryonic cranial skeleton morphogenesis			IMP	MGI:3526861 	J:117491 	
MGI:1914283	2610005L07Rik	RIKEN cDNA 2610005L07 gene	8		female gonad development			IGI	MGI:97530 	J:142042 	
MGI:1914283	2610005L07Rik	RIKEN cDNA 2610005L07 gene	8		luteinization			IGI	MGI:97530 	J:142042 	
MGI:1914283	2610005L07Rik	RIKEN cDNA 2610005L07 gene	8		skeletal system morphogenesis			IMP	MGI:3526861 	J:117491 	
MGI:1914305	2610042L04Rik	RIKEN cDNA 2610042L04 gene	14		synapse assembly			IDA		J:201575 	
MGI:1914305	2610042L04Rik	RIKEN cDNA 2610042L04 gene	14		synapse assembly			IMP		J:201575 	
MGI:1914407	2610301B20Rik	RIKEN cDNA 2610301B20 gene	4		photoreceptor cell morphogenesis			IMP		J:259133 	
MGI:1914438	2700046G09Rik	RIKEN cDNA 2700046G09 gene	19		positive regulation of myelination			IDA		J:201967 	
MGI:1917941	3830403N18Rik	RIKEN cDNA 3830403N18 gene	X		hematopoietic progenitor cell differentiation			IGI	MGI:1343184 	J:202604 	
MGI:1921197	4930430F08Rik	RIKEN cDNA 4930430F08 gene	10		hematopoietic progenitor cell differentiation			IGI	MGI:1343184 	J:202604 	
MGI:3586330	4930474N05Rik	RIKEN cDNA 4930474N05 gene	14		hematopoietic progenitor cell differentiation			IGI	MGI:1343184 	J:202604 	
MGI:2444631	4932438A13Rik	RIKEN cDNA 4932438A13 gene	3		adipose tissue development			NAS		J:169901 	
MGI:2443685	5830411N06Rik	RIKEN cDNA 5830411N06 gene	7		gamma-delta T cell lineage commitment	happens in thymus		IDA		J:137854 	
MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11		mature B cell differentiation involved in immune response			IMP		J:251374 	
MGI:2442953	9630013A20Rik	RIKEN cDNA 9630013A20 gene	14		central nervous system myelination			IMP		J:256017 	
MGI:2442953	9630013A20Rik	RIKEN cDNA 9630013A20 gene	14		oligodendrocyte differentiation			IDA		J:256017 	
MGI:2445097	A830010M20Rik	RIKEN cDNA A830010M20 gene	5		neuron projection development			IMP		J:255150 	
MGI:1926144	Aacs	acetoacetyl-CoA synthetase	5		liver development			ISO	RGD:708522 	J:155856 	
MGI:2384560	Aars	alanyl-tRNA synthetase	8		cerebellar Purkinje cell layer development	results in the development of cerebellum,has the participant Purkinje cell		IMP	MGI:3618596 	J:110647 	
MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	11		brain development	results in the development of brain		IMP	MGI:5428170 	J:184851 	
MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	11		negative regulation of axon extension	regulates a function/process that happens in neuron of cerebral cortex	PR:000035700	IGI	MGI:101764 	J:184851 	
