bird_id,clean_id,sex,stage,prolactin_ng_mL,number,comment,,,,,
blk.s030.o.g,blks030og,male,prolong,35.27,9,,,,,,
blk.s031.pu.d,blks031pud,female,prolong,43.81,10,,,,,,
blk.s032.g.w,blks032gw,female,m.hatch,90.75,11,listed as 039 in prolactin RIA data,,,,,
blk.s049.y.g,blks049yg,female,m.inc.d3,27.05,12,,,,,,
blk.s060.pu.w,blks060puw,female,m.inc.d3,19.36,13,,,,,,
blk.s061.pu.y,blks061puy,female,inc.d9,11.89,14,,,,,,
blk.y.l.s109,blkyls109,female,m.inc.d8,8.00,15,,,,,,
blu10.w26.x,blu10w26,male,m.hatch,18.35,19,appears as blu110 in first column then blu10 on second,,,,,
blu114.r38.w198,blu114r38w198,male,bldg,5.56,22,appears as w78 on first column then w198 on second,,,,,
blu115.y150.x,blu115y150,female,inc.prolong,58.54,23,,,,,,
blu.o.x.ATLAS,bluoATLAS,female,control,85.28,41,Appears as L_Blu/O,,,,,
d.r.blk.s159,drblks159,female,m.inc.d9,8.70,42,,,,,,
d.s008.y.blk,ds008yblk,male,n5,46.99,43,,,,,,
d.s047.blk.o,ds047blko,male,n5,76.22,44,,,,,,
d.s110.g.blk,ds110gblk,male,m.inc.d3,5.20,45,,,,,,
d.s112.blk.w,ds112blkw,female,m.inc.d17,49.71,46,,,,,,
d.s177.blk.r,ds177blkr,female,m.inc.d3,6.35,47,,,,,,
g8.y197,g8y197,male,extend,38.17,70,,,,,,
g.blk.s004.pk,gblks004pk,female,lay,5.47,71,,,,,,
g.blk.s041.r,gblks041r,male,m.inc.d3,7.24,72,,,,,,
g.o.y.s037,goys037,male,m.inc.d17,NA,73,No value ,,,,,
g.s043.pu.blk,gs043publk,male,lay,11.07,74,,,,,,
g.s075.pk.pu,gs075pkpu,male,m.hatch,4.88,75,,,,,,
g.s076.pk.r,gs076pkr,female,m.hatch,11.47,76,,,,,,
g.s078.blk.o,gs078blko,female,lay,8.02,77,,,,,,
g.s111.r.blk,gs111rblk,male,m.inc.d8,25.95,78,,,,,,
g.s179.o.pk,gs179opk,male,m.inc.d8,15.86,79,,,,,,
g.s351.pk.w,gs351pkw,male,extend,64.99,80,,,,,,
g.s.blk.d,gsblkd,male,n9,39.98,81,appears as blk/d-g/s on column B but g/s(036)-blk/d on column D,,,,,
g.x.ATLAS,gATLAS,female,control,NA,83,no prolactin data ,,,,,
g.y.blk.s006,gyblks006,female,m.inc.d17,31.84,84,,,,,,
L.Blu13,LBlu13,male,control,3.02,86,,,,,,
L.G107,LG107,male,control,20.11,87,,,,,,
L.G118,LG118,female,control,19.59,88,,,,,,
L.R3,LR3,male,control,2.88,89,,,,,,
L.R8,LR8,male,control,17.88,90,,,,,,
l.s024.y.g,ls024yg,male,m.inc.d17,65.16,91,,,,,,
l.s052.pk.r,ls052pkr,female,prolong,72.59,92,,,,,,
l.s080.blk.r,ls080blkr,male,prolong,4.66,93,,,,,,
l.s120.y.blk,ls120yblk,female,bldg,20.53,94,,,,,,
