"","group","results","genes","n"
"1","FP","hatch_m.n2(-); inc.d17_m.inc.d17(-)","ADAMTSL2; AGR2; B3GNTL2; C12ORF57; CD164L2; CDC25A; CDC6; CDK1; CDKN3; CDT1; CENPK; CKS1B; CREB3L1; DTX1; E2F1; F13A1; FAM19A1; FGF6; FKBP11; GABRE; GMPPB; GRXCR1; KPNA2; LBH; LIPG; LOC101749834; LOC107054798; LOC422224; LOC769174; LRRTM3; MCM2; MFSD2A; MFSD4; MLN; MSTN; MXD3; MYC; NPM3; NR4A3; NUF2; OVST; PAPLN; PAX7; POU3F3; PROCR; PYCR2; SHCBP1; SLC18A3; SLC30A2; SLC51B; SLC7A5; SSR2; STC1; SULT1C3; TFPI2; TK1; TMEM100; TMEM52B; USP35",59
"2","FP","hatch_m.n2(+); inc.d17_m.inc.d17(+)","ADAMTS2; ANGPTL7; ANKRD34B; AQP3; ASIC4; ATP6V1C2; C3H2orf71; CARD10; CDHR5; CLDN10; CLUL1; CMKLR1; CYP26A1; DIO3; EPHA10; FAM222A; FEV; FLVCR2; HABP2; KANK1; LACTBL1; LOC101748568; LOC416696; LOC420716; LOC424214; LOC427826; LOC429032; LOC770429; LOC771735; MYRIP; NETO2; NFAM1; NPDC1; NSMF; PPP1R3A; RASA4; RTN4RL1; SERPINA4; SERPINB5; SLC27A6; SRRL; TPH2; WNT11; ZFPM1; ZNF469; ZNF750",46
"3","FH","hatch_m.n2(+); inc.d17_m.inc.d17(+)","BET3L; BRS3; CCDC60; CPA6; CYP2J2L6; CYP2W1; DPP4; DRD4; EGR3; FAM83B; GPR112; GRP; IAPP; KIF26B; KLHL34; LOC101747255; LOC101748402; LOC101748456; LOC107050337; LOC107051069; LOC427933; LOC769052; NR4A3; NSD1; PERP1; PI15; PNO1; POSTN; RAPSN; SCT; SERPINB2; SH2D4A; SH3RF2; SLC45A2; SLC7A9; SLCO4C1; SMURF2; SNTG2; SPTLC3; TGM3; TMED11; TMEM61; UTS2",43
"4","MP","inc.d17_m.inc.d17(-); inc.d9_m.inc.d9(+)","ANLN; APOD; APOH; AQP4; CDH19; CLDN11; CNP; ETNK2; FA2H; FABP7; GFAP; GRM2; HEBP2; HEPACAM; LGI3; LOC100859848; LOC107050516; LOC769726; MLPH; NINJ2; OLIG2; PLLP; PLP1; SEPP1L; SHANK3; SLC6A9; SOX10; SPTSSB; TMEM52; TMEM88B",30
"5","FH","hatch_m.n2(-); inc.d17_m.inc.d17(-)","ADPRHL1; C7ORF72; CALB2; CBLN2; CRYGS; FOXA1; GBX2; GPR17; HAPLN2; HAPLN4; IRX3; IRX5; LHCGR; LOC101751638; LOC107050548; LOC107054855; NIPAL4; NR5A1; OTX2; PAPPA; PMCH; RBPMS2; SHOX; SOX14; TNNC1",25
"6","MH","hatch_m.n2(+); inc.d17_m.inc.d17(+)","AKAP5; BET3L; BRS3; CCDC60; ESRP2; FGF3; IAPP; LOC100858306; LOC101748456; LOC420300; LOC422929; PDE1A; PI15; PPP1R1B; PRSS56; SATB2; SLC7A9; TMED11; TMEM61",19
"7","MH","hatch_m.n2(-); inc.d17_m.inc.d17(-)","CALCA; CLIC6; CRYBB2; DIO3; FSHB; FXYD2; IRX3; NPVF; OTX2; RBPMS2; RLN1; SHOX; SHOX2; SLCO1C1; STEAP1; TF; TMEM27",17
"8","FH","hatch_m.n2(-); inc.d17_m.inc.d17(-); inc.d3_m.inc.d3(-)","APOBEC2; CALCA; DIO3; FXYD2; IRX2; LHX9; NPVF; PITX2; SHOX2; TCF7L2",10
"9","FP","hatch_m.n2(+); inc.d17_m.inc.d17(+); inc.d9_m.inc.d9(+)","ABCA4; ALK; ASPA; CYTH4; GREB1; LPAR1; SHH; TH; TMEM114",9
"10","MP","hatch_m.n2(-); inc.d17_m.inc.d17(-)","AGR2; C17ORF89; CDC45; CENPK; F13A1; MFSD2A; POU3F3",7
