gene,bldg_lay,lay_inc.d3,inc.d3_inc.d9,inc.d9_inc.d17,inc.d17_hatch,hatch_n5,n5_n9
ADRA2A,NA,NA,NA,NA,NA,NA,NA
AR,NA,NA,NA,NA,NA,NA,NA
AVP,NA,NA,NA,NA,NA,NA,NA
AVPR1A,NA,NA,FG-,NA,NA,NA,NA
AVPR1B,NA,NA,NA,NA,NA,NA,NA
AVPR2,NA,NA,NA,NA,NA,FP+,NA
CGA,FP-,NA,NA,NA,NA,NA,NA
COMT,NA,NA,NA,NA,NA,NA,NA
CRH,NA,NA,NA,NA,NA,NA,NA
CRHBP,NA,NA,NA,NA,NA,NA,NA
CRHR1,NA,NA,NA,NA,NA,NA,NA
CRHR2,NA,NA,NA,NA,NA,NA,NA
DIO1,NA,NA,NA,NA,NA,NA,NA
DIO2,NA,FG-,NA,NA,NA,NA,NA
DIO3,FP-,NA,NA,NA,NA,NA,NA
DRD1,NA,NA,NA,NA,NA,NA,NA
DRD4,NA,NA,NA,NA,NA,NA,NA
ESR1,FP+,NA,NA,NA,NA,NA,NA
ESR2,NA,NA,NA,NA,NA,NA,NA
FOS,NA,NA,NA,NA,NA,NA,NA
FSHB,NA,NA,NA,NA,NA,NA,NA
FSHR,NA,NA,NA,NA,NA,NA,NA
GABRQ,NA,NA,NA,NA,NA,NA,NA
GAL,FP-,NA,NA,NA,NA,NA,NA
GALR1,NA,NA,NA,NA,NA,NA,NA
GNRH1,NA,NA,NA,NA,NA,NA,NA
GNRHR,FP-,NA,NA,NA,NA,NA,NA
HTR2C,NA,NA,NA,NA,NA,NA,NA
JAK2,NA,NA,NA,NA,NA,NA,NA
LHCGR,NA,NA,NA,NA,NA,NA,NA
MC3R,NA,NA,NA,NA,NA,NA,NA
MC4R,NA,NA,NA,NA,NA,NA,NA
NPFFR1,NA,NA,NA,NA,NA,NA,NA
NPVF,NA,NA,NA,NA,NA,NA,NA
NPY,NA,NA,NA,NA,NA,NA,NA
NR3C1,NA,NA,NA,NA,NA,NA,NA
NR3C2,NA,NA,NA,NA,NA,NA,NA
OPRM1,NA,NA,NA,NA,NA,NA,NA
OXT,NA,NA,NA,NA,NA,NA,NA
PGR,NA,NA,NA,NA,NA,NA,NA
POMC,NA,NA,NA,NA,NA,NA,NA
PRL,NA,NA,NA,FP+  MP+,NA,NA,NA
PRLH,FP-,FP+,NA,FP+,NA,NA,NA
PRLHR,NA,NA,NA,NA,NA,NA,NA
PRLR,NA,FG-,NA,NA,NA,NA,NA
SERPINA4,NA,NA,NA,NA,NA,NA,NA
SLC6A4,NA,NA,NA,NA,NA,NA,NA
STAT5B,NA,NA,NA,NA,NA,NA,NA
VIP,NA,NA,NA,NA,NA,NA,NA
VIPR1,NA,NA,NA,NA,NA,NA,NA
