gene,control_m.inc.d3,control_m.inc.d9,control_m.inc.d17,control_m.n2,control_early,control_prolong,control_extend
AR,FG(+); FP(+); MG(+); MH(+); MP(+),FG(+); FH(+); FP(+); MG(+); MH(+); MP(+),FG(+); FH(+); FP(+); MG(+); MH(+); MP(+),FG(+); FH(+); FP(+); MG(+); MH(+); MP(+),FG(+); FH(+); FP(+); MG(+); MH(+); MP(+),FG(+); FH(+); FP(+); MG(+); MH(+); MP(+),FG(+); FH(+); MG(+); MH(+); MP(+)
AVP,FP(-); MP(-),FP(-); MH(+); MP(-),FG(+); FP(-); MP(-),FG(+); FP(-); MP(-),FP(-),FP(-); MH(+),FP(-); MP(-)
AVPR1B,NA,NA,NA,FP(+),NA,NA,FH(-)
AVPR2,FP(+); MP(+),MH(-),FP(+); MH(-); MP(+),FP(+); MP(+),MH(-); MP(+),FG(+); MP(+),NA
CGA,FH(-); MG(-); MH(-),FH(-); MH(-),FH(-); FP(+); MG(-); MH(-),FH(-); FP(+); MG(-); MH(-),FH(-); MG(-); MH(-); MP(-),FH(-); MG(-); MH(-),FH(-); MG(-); MH(-)
CRH,MH(+),MH(+),MH(+),MH(+),MH(+),MH(+),MH(+)
CRHR1,FG(-),NA,FG(-),FG(-),FG(-),FG(-),FG(-)
DIO1,FG(-); FP(-),FG(-),FG(-); FP(-),FG(-),FG(-); FP(-); MP(-),NA,FG(-)
DIO2,NA,NA,NA,NA,NA,NA,FP(+)
DIO3,FH(-); FP(+),FP(+),FH(-); FP(+),FH(-); FP(+),NA,NA,NA
ESR2,FH(-),NA,FH(-); MH(-),NA,NA,MG(+),NA
FSHB,FH(-); FP(+); MH(-); MP(-),FH(-); MG(-); MH(-); MP(-),FH(-); MH(-),FH(-); MG(-); MH(-); MP(-),FH(-); MH(-); MP(-),FG(-); FH(-); MH(-),FH(-); MG(-); MH(-)
FSHR,FG(-); FH(+),FG(-); FH(+),FG(-); FH(+),FG(-); FH(+),FG(-); FH(+),FG(-); FH(+),FG(-); FH(+)
GABRQ,FH(+); MH(+),FH(+); MH(+); MP(+),FH(+); MH(+),FH(+); MH(+),FH(+); MH(+); MP(+),FH(+); MG(+); MH(+),FH(+); MH(+)
GAL,FG(-); FH(-); MH(-); MP(-),FG(-); FH(-); MH(-),FG(-); FH(-); MH(-); MP(-),FG(-); FH(-); MH(-),FG(-); FH(-); FP(-); MH(-),FG(-); FH(-); MG(+); MH(-),FG(-); FH(-); FP(-); MH(-); MP(-)
GALR1,FH(+); MH(+),FH(+); MH(+),MG(+); MH(+),FH(+); MG(+); MH(+),FH(+); MG(+); MH(+),FH(+); MG(+); MH(+),FH(+); MG(+); MH(+)
GNRH1,FP(-); MH(-); MP(-),FP(-); MH(-),FP(-); MH(-),FP(-); MH(-),FP(-); MH(-),FP(-); MH(-),FP(-); MH(-)
GNRHR,FP(-); MH(-),FP(-),FP(-),FP(-),FP(-); MH(-),FP(-); MH(-),FG(-); FH(-); FP(-); MH(-)
JAK2,NA,NA,NA,FP(+),FH(+),NA,FH(+)
LHCGR,FH(-),MP(+),NA,FH(-); FP(-); MH(-),FP(-); MH(-); MP(+),FP(-),FP(-); MH(-)
MC4R,FP(-); MH(-),MH(-),FH(-); FP(-); MH(-),MH(-),FP(-); MH(-); MP(+),FH(-); MH(-),FG(-); MH(-)
MC5R,MG(-),NA,NA,NA,MH(-); MP(+),NA,NA
