gene,bldg_m.inc.d3,bldg_m.inc.d9,bldg_m.inc.d17,bldg_m.n2,bldg_early,bldg_prolong,bldg_extend
AR,NA,NA,NA,NA,NA,NA,NA
AVPR1A,NA,NA,NA,NA,NA,NA,NA
AVPR2,NA,NA,NA,NA,NA,NA,FP-
CGA,NA,NA,NA,NA,MP-,NA,FP-
COMT,FH-,NA,FH-,NA,NA,FH-,NA
CRHBP,FH+,NA,FH+,NA,NA,MG+,NA
CRHR1,NA,NA,NA,NA,NA,NA,NA
CRHR2,FH+,NA,FH+,NA,MH+,FH+,NA
DIO2,FG-,NA,NA,NA,FG-,FG-,FG-
DIO3,FH-,NA,FH-,FH-,MP+,FP-,FP-
DRD1,FH+  MH+,NA,FH+  MH+,NA,MH+,FH+,NA
DRD4,NA,NA,NA,NA,MH+,NA,NA
ESR1,FG-,FG-,FG-,NA,NA,MG+,NA
ESR2,NA,NA,NA,NA,NA,NA,NA
FOS,NA,NA,NA,NA,NA,NA,NA
FSHR,NA,NA,NA,NA,NA,FG+,FG+
GABRQ,FH+  MH+,NA,FH+,FH+,MH+  MP+,FH+  MG+,FH+
GAL,NA,NA,NA,NA,NA,MG+,NA
GNRHR,NA,NA,NA,NA,NA,FP-,FP-
HTR2C,FH+,NA,FH+,NA,MH+,FH+,NA
JAK2,NA,NA,FP+,FP+,NA,NA,NA
LHCGR,FH-,NA,FH-,FH-,MP+,FH-,NA
MC4R,NA,NA,NA,NA,MP+,NA,NA
MEST,NA,NA,FG-,NA,NA,FP+,FP+
NPVF,FH-  MH-,NA,FH-  FP+,FP+,FH-  MH-,FH-  FP+,NA
NPY,NA,MP+,NA,NA,FG-  MP+,FG-,FG-
OPRM1,NA,NA,NA,NA,MP+,NA,NA
OXT,NA,NA,NA,NA,MP+,NA,NA
PRL,NA,NA,FP+  MP+,FP+  MP+,NA,FP+  MP+,FP+  MP+
PRLH,NA,NA,NA,NA,NA,NA,NA
PRLR,FH+,NA,FH+,NA,FG-  FH+,NA,FH+
SERPINA4,FH+,NA,NA,NA,MH+,FH+,NA
SLC6A4,MH-,NA,MH-,MH-,MH-,NA,MH-
STAT5B,NA,NA,NA,NA,NA,NA,NA
VIP,NA,NA,NA,NA,MP+,NA,NA
VIPR1,NA,NA,FP+  MP+,FP+  MP+,FP+,FP+,FP+  MP+
